name,s,betx,bety,alfx,alfy,dx,dy,mux,muy
DM4Q,32.37483598846152,31.909323824923515,24.0399038402176,13.014798615083828,-15.021829458130448,0.1855688601480127,8.128345043126032e-18,1.153915768093608,0.23312327219135698
M4E,32.61453598846152,25.976825431692923,31.783081980183322,11.73488179055097,-17.28179231894799,0.1756158586625739,9.441978625177233e-18,1.1552408457912686,0.23450343157247644
D6EA1,32.61453598846152,25.976825431692923,31.783081980183322,11.73488179055097,-17.28179231894799,0.1756158586625739,9.441978625177233e-18,1.1552408457912686,0.23450343157247644
S3EL_2,32.61453598846152,25.976825431692923,31.783081980183322,11.73488179055097,-17.28179231894799,0.1756158586625739,9.441978625177233e-18,1.1552408457912686,0.23450343157247644
D6EB1,32.86453598846152,20.443113370913863,41.0132467194204,10.39996645196808,-19.638866637735635,0.16523517292691575,1.0812059011010724e-17,1.1569674870051327,0.2356054872379595
DYC2E::0,33.05211374206481,16.729386874790183,48.71261423392477,9.39836477220151,-21.407405463313466,0.15744643008392495,1.1840045017507315e-17,1.1585818283826834,0.23627340030953736
YC2E,33.12011374206481,15.475899859821888,51.66761782359489,9.03526780086145,-22.04852967889412,0.1546228835644188,1.2212706738308202e-17,1.159254436910648,0.23648912469448624
DYC2E::1,33.12011374206481,15.475899859821888,51.66761782359489,9.03526780086145,-22.04852967889412,0.1546228835644188,1.2212706738308202e-17,1.159254436910648,0.23648912469448624
D6EC1,33.18811374206481,14.271794032955858,54.70981430658399,8.672170829521399,-22.68965389447477,0.15179933704491258,1.2585368459109088e-17,1.1599826581133155,0.2366926822951212
Q5EL,33.344541492064806,11.68931728797123,62.039104370162,7.836899619836996,-24.164501225560006,0.14530402779393192,1.3442642495815123e-17,1.1619102304696303,0.237120017893097
DM5Q,33.7729414920648,6.183746377518999,82.20039895350654,5.142929212395737,-22.42542120914721,0.1296132279114437,1.557739216612325e-17,1.1699734028234758,0.23807002562905932
M5E,33.7729414920648,6.183746377518999,82.20039895350654,5.142929212395737,-22.42542120914721,0.1296132279114437,1.557739216612325e-17,1.1699734028234758,0.23807002562905932
D7E1,33.7729414920648,6.183746377518999,82.20039895350654,5.142929212395737,-22.42542120914721,0.1296132279114437,1.557739216612325e-17,1.1699734028234758,0.23807002562905932
B3LE_1,34.002241492064805,4.058595559082873,92.80701034503916,4.125063890247643,-23.831061091474695,0.12229546883415698,1.6600273166700705e-17,1.1772606285213687,0.23848785342811096
