name,s,betx,bety,alfx,alfy,dx,dy
sffsb1__001,635.9865109120598,13214.823760261886,6887.517590986517,-226.99455945605249,-106.6225348142188,-0.005540422521523708,0.0
sffsb1__002,638.8700658853169,14556.347940181993,7516.147028359288,-238.2381801161906,-111.38247747195938,-0.005679888570239659,0.0
sffsb1__003,641.753620858574,15962.715316636226,8172.227578378346,-249.48180077608788,-116.14242012969986,-0.005820254996980089,0.0
sffsb1__004,644.6371758318311,17433.92588964464,8855.759241043708,-260.7254214360658,-120.9023627874404,-0.005961521801713373,0.0
sffsb1__005,647.5207308050882,18969.97965918965,9566.742016355325,-271.9690420958558,-125.66230544518045,-0.006103688984457106,0.0
sffsb1__006,650.4042857783453,20570.876625304983,10305.175904313252,-283.2126627559341,-130.4222481029207,-0.006246756545207146,0.0
sffsb1__007,653.2878407516024,22236.61678792084,11071.060904917456,-294.4562834153367,-135.1821907606608,-0.006390724483974881,-0.0
sffsb1__008,656.1713957248595,23967.20014709475,11864.39701816794,-305.69990407486256,-139.94213341840072,-0.006535592800748924,-0.0
sffsb1__009,659.0549506981166,25762.626702817182,12685.18424406472,-316.9435247343748,-144.70207607614068,-0.006681361495520997,-0.0
sffsb1__010,661.9385056713737,27622.89645506724,13533.42258260779,-328.18714539361645,-149.46201873388063,-0.006828030568303517,-0.0
lx0__012,664.8220606446308,29548.009403851585,14409.112033797142,-339.4307660526839,-154.2219613916205,-0.006975600019106836,-0.0
sffsb1__011,665.3026531401737,29875.165761647877,14557.729133835994,-341.3047028293745,-155.01528516791058,-0.007000269959073295,-0.0
sffsb1__012,668.1862081134308,31875.929106435946,15465.444883112681,-352.54832348876636,-159.77522782565035,-0.00714873978787636,0.0
sffsb1__013,671.0697630866879,33941.53564774657,16400.611745035618,-363.79194414784365,-164.53517048338978,-0.007298109994686087,0.0
sffsb1__014,673.953318059945,36071.98538561454,17363.22971960487,-375.03556480698387,-169.29511314112938,-0.0074483805794917715,0.0
sffsb1__015,676.8368730332021,38267.27831997177,18353.298806820352,-386.27918546549097,-174.05505579886852,-0.007599551542312045,0.0
sffsb1__016,679.7204280064592,40527.41445096191,19370.81900668217,-397.5228061248156,-178.81499845660804,-0.007751622883139661,0.0
sffsb1__017,682.6039829797163,42852.39377846697,20415.790319190226,-408.7664267837599,-183.57494111434707,-0.007904594601987043,0.0
sffsb1__018,685.4875379529734,45242.21630249072,21488.212744344553,-420.0100474423778,-188.334883772086,-0.00805846669883866,-0.0
sffsb1__019,688.3710929262305,47696.88202294484,22588.086282145203,-431.2536680998887,-193.0948264298252,-0.00821323917369245,-0.0
sffsb1__020,691.2546478994876,50216.390940048645,23715.410932592084,-442.49728875830203,-197.8547690875639,-0.008368912026558754,-0.0
lx0__013,694.1382028727447,52800.74305355445,24870.18669568527,-453.74090941541147,-202.61471174530286,-0.008525485257427228,-0.0
sffsb1__021,694.6187953682876,53237.77260547504,25065.318181041494,-455.61484619194096,-203.40803552159338,-0.008551655827406288,-0.0
sffsb1__022,697.5023503415447,55897.775115048375,26252.120242221958,-466.8584668498523,-208.16797817933187,-0.008709129436282773,-0.0
sffsb1__023,700.3859053148018,58622.62082109176,27466.37341604881,-478.10208750708756,-212.9279208370711,-0.00886750342316283,0.0
sffsb1__024,703.2694602880589,61412.30972370163,28708.07770252182,-489.34570816445284,-217.68786349480942,-0.009026777788047126,0.0
sffsb1__025,706.153015261316,64266.84182274918,29977.23310164142,-500.58932882092836,-222.44780615255,-0.00918695253094394,0.0
sffsb1__026,709.0365702345731,67186.21711835664,31273.839613407665,-511.8329494774962,-227.20774881029308,-0.009348027651853275,0.0
sffsb1__027,711.9201252078302,70170.43561045406,32597.89723782023,-523.0765701336202,-231.96769146803626,-0.009510003150768914,0.0
sffsb1__028,714.8036801810873,73219.49729917991,33949.40597487917,-534.3201907903282,-236.72763412577987,-0.009672879027697073,-0.0
sffsb1__029,717.6872351543444,76333.40218431893,35328.36582458444,-545.5638114460409,-241.48757678352368,-0.009836655282621194,-0.0
sffsb1__030,720.5707901276015,79512.15026603907,36734.77678693598,-556.807432101983,-246.24751944126714,-0.010001331915551621,-0.0
lx0__014,723.4543451008586,82755.74154430472,38168.638861933854,-568.0510527578922,-251.00746209901072,-0.010166908926498705,-0.0
sffsb1__031,723.9349375964015,83302.6442903332,38410.28473260737,-569.9249895342497,-251.80078587530087,-0.010194580126490363,-0.0
sffsb1__032,726.8184925696586,86621.88596454651,39876.17310569263,-581.1686101899612,-256.56072853304465,-0.010361057515439235,-0.0
sffsb1__033,729.7020475429157,90005.9708352281,41369.51259142427,-592.4122308451213,-261.3206711907888,-0.010528435282399974,-0.0
sffsb1__034,732.5856025161728,93454.89890233897,42890.30318980219,-603.6558514994985,-266.0806138485327,-0.010696713427360808,0.0
sffsb1__035,735.4691574894299,96968.67016622107,44438.54490082643,-614.8994721552989,-270.84055650627664,-0.010865891950339338,0.0
